"2017-11-16 13:51:03+2:00",0,"AIN1|Analog Input 1|mA|0.000000|1.000000|mA","AIN2|Analog Input 2|V|0.000000|1.000000|V","AIN3|Analog Input 3|V|0.000000|1.000000|V","AIN4|Analog Input 4|mA|0.000000|1.000000|mA","AIN5|Analog Input 5|mA|0.000000|1.000000|mA","AIN6|Analog Input 6|V|0.000000|1.000000|V","AIN7|Analog Input 7|V|0.000000|1.000000|V","AIN8|Analog Input 8|mA|0.000000|1.000000|mA","AO1|Analog Output 1|mA|0.000000|1.000000|v","AO2|Analog Output 2|mA|0.000000|1.000000|v","DIN1|Digital Input 1","DIN2|Digital Input 2","DIN3|Digital Input 3","DIN4|Digital Input 4","DIN5|Digital Input 5","DIN6|Digital Input 6","DIN7|Digital Input 7","DIN8|Digital Input 8","DO1|Digital Output 1","DO2|Digital Output 2","DO3|Digital Output 3","DO4|Digital Output 4","DO5|Digital Output 5","DO6|Digital Output 6","DO7|Digital Output 7","DO8|Digital Output 8","RTD1|RTD - 1|2wire|pt100","RTD2|RTD - 2|2wire|pt100",RLY1|RELAY-1,RLY2|RELAY-2,RLY3|RELAY-3,RLY4|RELAY-4
"2017-11-27 00:02:14+2:00",1,OutOfRange-0.000000,0.047522,0.052855,OutOfRange-0.000000,OutOfRange-4.000000,0.047522,0.047855,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:03:14+2:00",1,OutOfRange-0.000000,0.047522,0.052855,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047522,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:04:14+2:00",1,OutOfRange-0.000000,0.047522,0.052855,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047871,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:05:14+2:00",1,OutOfRange-0.000000,0.047537,0.052871,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047537,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:06:14+2:00",1,OutOfRange-0.000000,0.047537,0.052871,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047537,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:07:14+2:00",1,OutOfRange-0.000000,0.047537,0.052871,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047886,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:08:14+2:00",1,OutOfRange-0.000000,0.047537,0.052871,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047537,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:09:15+2:00",1,OutOfRange-0.000000,0.047537,0.052522,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047871,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:10:15+2:00",1,OutOfRange-0.000000,0.047537,0.052871,OutOfRange-0.000000,OutOfRange-4.000000,0.047537,0.047855,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
"2017-11-27 00:11:15+2:00",1,OutOfRange-0.000000,0.047522,0.052189,OutOfRange-0.000000,OutOfRange-4.000000,0.047522,0.047855,OutOfRange-4.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.476562,1411.476562,0,0,0,0
